Item ID,High Price,Low Price,Margin,High Time,Low Time
2,207,201,6,1728565996,1728565899
6,197440,197440,0,1728563426,1728565461
8,183827,183827,0,1728564484,1728565467
10,191985,183658,8327,1728565734,1728565480
12,291020,205712,85308,1728562976,1728565464
28,300,93,207,1728563773,1728547257
30,950,921,29,1728565993,1728565317
36,224,225,-1,1728565907,1728565304
39,2,4,-2,1728565995,1728560423
40,5,4,1,1728565977,1728565933
41,19,18,1,1728565807,1728564368
42,32,31,1,1728565835,1728564315
43,95,94,1,1728565483,1728565006
44,221,221,0,1728565738,1728565517
45,76,30,46,1728559099,1728561449
46,62,55,7,1728565300,1728563129
47,72,75,-3,1728565754,1728564107
48,15,15,0,1728563775,1728565696
50,27,27,0,1728563736,1728565049
52,1,1,0,1728565977,1728562148
53,10,9,1,1728565906,1728565929
54,37,34,3,1728564843,1728564891
56,24,17,7,1728561233,1728564769
58,58,51,7,1728565480,1728564378
60,45,40,5,1728556228,1728565303
62,115,112,3,1728565791,1728564452
64,89,89,0,1728565296,1728557183
66,330,314,16,1728565595,1728565811
68,180,171,9,1728563955,1728563578
70,1082,1074,8,1728565226,1728565501
72,832,810,22,1728564899,1728564619
91,399,357,42,1728565876,1728565775
93,241,250,-9,1728565948,1728560536
95,376,395,-19,1728565949,1728565862
97,739,723,16,1728565926,1728565185
99,7200,7180,20,1728565878,1728565996
101,1687,1652,35,1728565075,1728565884
103,4030,4005,25,1728565895,1728565906
105,4039,4007,32,1728565880,1728565918
107,4036,3970,66,1728564722,1728563092
109,2619,2585,34,1728563131,1728565201
111,3135,3014,121,1728565381,1728565389
113,133,129,4,1728565977,1728565691
115,64,62,2,1728563072,1728562394
117,60,61,-1,1728536985,1728564651
119,72,35,37,1728541260,1728565672
121,4,4,0,1728559984,1728565632
123,7,5,2,1728565979,1728564732
125,5,10,-5,1728508547,1728565744
127,49,67,-18,1728560867,1728565293
129,10,10,0,1728537144,1728555882
131,16,28,-12,1728441188,1728556204
133,999,401,598,1728548201,1728565713
135,217,170,47,1728518877,1728556368
137,16,10,6,1728551555,1728559104
139,7216,7216,0,1728565865,1728565946
141,4808,4780,28,1728565700,1728565942
143,2413,2350,63,1728564583,1728565940
